Grapheme	target	simple_target	segment_type	notes
a	ä	a	v	
b	b	b	c	
ch	t̠ʃʰ	t̠ʃʰ	c	
d	d	d	c	Doke & Mofokeng describe this as an allophone of /l/ before high vowels, but in our corpus it appears freely before all vowels
e	e	e	v	
f	f	f	c	
g	χ	χ	c	
h	h	h	c	
hl	ɬ	ɬ	c	
i	i	i	v	
j	d̠ʒ	d̠ʒ	c	
k	kʼ	k	c	
kg	kx	kx	c	might really be [kχ]. not transcribed consistently in the corpus, often ⟨kh⟩
kh	kʰ	kʰ	c	
l	l	l	c	
m	m	m	c	
n	n	n	c	
ng	ŋ	ŋ	c	
nq	ŋǃ	ŋǃ	c	
ny	ɲ	ɲ	c	
o	o	o	v	
p	pʼ	t	c	
ph	pʰ	pʰ	c	
q	kǃʼ	kǃʼ	c	
qh	kǃʰ	kǃʰ	c	
r	r	r	c	the majority of speakers might now be using [ʀ], check
s	s	s	c	
sh	ʃ	ʃ	c	
t	tʼ	t	c	
th	tʰ	tʰ	c	
tj	t̠ʃʼ	t̠ʃ	c	
tl	tɬʼ	tɬ	c	
tlh	tɬʰ	tɬʰ	c	
ts	tsʼ	ts	c	
tsh	tsʰ	tsʰ	c	
u	u	u	v	
w	w	w	c	
y	j	j	c	
M	m	m	c	
\'	NULL	NULL	NULL	
N	n	n	c	
T	t	t	c	
S	s	s	c	
K	k	k	c	
v	v	v	c	
L	l	l	c	
H	h	h	c	
P	p	p	c	
B	b	b	c	
z	z	z	c	
R	r	r	c	
D	d	d	c	
J	d̠ʒ	d̠ʒ	c	
?	NULL	NULL	NULL	
Ch	t̠ʃʰ	t̠ʃʰ	c	
C	c	c	c	
I	i	i	v	
x	x	x	c	
F	f	f	c	
E	e	e	v	
Q	kǃʼ	kǃʼ	c	
_	NULL	NULL	NULL	
\"	NULL	NULL	NULL	
G	χ	χ	c	
Y	χ	χ	c	
A	a	a	v	
O	o	o	v	
U	u	u	v	
W	w	w	c	
